日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150629,2026-06-29,上市,0061,元大寶滬深,25.25,-0.0200,25.28,25.49,25.16,454000,11474080,52,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,006203,元大MSCI台灣,189.85,0.9000,189.20,191.30,188.60,19000,3605550,8,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,006204,永豐臺灣加權,224.95,2.7500,225.85,225.85,224.80,13000,2932100,4,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,006205,富邦上証,41.52,0.2200,41.30,41.70,40.90,968000,40067500,75,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,006206,元大上證50,37.71,0.4900,37.20,37.89,36.96,199000,7507410,22,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,006207,復華滬深,33.64,-0.1900,33.64,33.82,33.54,776000,26146360,68,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,006208,富邦台50,242.75,4.0500,240.00,244.60,239.85,3846000,931533900,1283,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00625K,富邦上証+R,0.00,0.0000,0.00,0.00,0.00,0,0,0,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00631L,元大台灣50正2,36.28,1.0200,35.62,36.72,35.44,238085000,8617628340,56780,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00632R,元大台灣50反1,10.31,-0.1400,10.36,10.41,10.21,187884000,1935697130,15012,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00633L,富邦上証正2,50.95,0.2000,51.00,51.70,50.25,4167000,212267750,416,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00634R,富邦上証反1,3.08,-0.0100,3.08,3.10,3.06,847000,2607470,26,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00635U,期元大S&P黃金,42.29,0.3900,42.37,42.55,42.29,4986000,211455040,1966,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00636,國泰中國A50,28.46,-0.1000,28.50,28.68,28.20,729000,20668030,107,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00636K,國泰中國A50+U,9.01,0.0100,9.01,9.01,9.01,200,1802,2,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00637L,元大滬深300正2,21.11,0.0100,21.20,21.44,20.85,19305000,408144930,2448,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00638R,元大滬深300反1,6.62,0.0100,6.61,6.64,6.58,130000,860550,19,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00639,富邦深100,18.11,-0.2900,18.40,18.43,18.03,2964000,53947490,193,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00640L,富邦日本正2,101.40,-0.6000,102.25,102.55,101.25,65000,6612800,52,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00641R,富邦日本反1,3.86,0.0100,3.84,3.87,3.83,1210000,4650980,76,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00642U,期元大S&P石油,22.84,-0.1600,22.84,22.96,22.80,2969000,67916050,713,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00643,群益深証中小,19.95,-0.4600,20.45,20.50,19.81,3721000,74603730,196,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00643K,群益深証中小+R,4.25,-0.1400,4.38,4.40,4.25,15000,64890,15,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00645,富邦日本,55.90,0.0500,55.95,56.15,55.80,61000,3413350,42,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00646,元大S&P500,74.20,0.8500,73.45,74.25,73.45,2892000,214010700,794,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00647L,元大S&P500正2,130.70,2.4000,130.05,130.70,129.70,32000,4165350,15,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00648R,元大S&P500反1,4.06,-0.0400,4.08,4.09,4.05,1755000,7126860,106,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00650L,復華香港正2,14.15,0.4500,13.91,14.25,13.80,5953000,83587950,650,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00651R,復華香港反1,5.75,-0.1100,5.90,5.90,5.72,326000,1873510,47,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00652,富邦印度,33.30,0.2600,33.06,33.34,33.06,581000,19344760,128,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00653L,富邦印度正2,46.55,0.5300,46.50,46.73,46.50,102000,4753420,59,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00654R,富邦印度反1,6.78,-0.0300,6.79,6.79,6.77,31000,210060,4,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00655L,國泰中國A50正2,35.51,0.1100,35.46,36.04,35.01,2088000,74269200,329,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00656R,國泰中國A50反1,5.82,-0.0600,5.88,5.88,5.79,582000,3394150,25,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00657,國泰日經225,80.40,-0.3000,80.65,80.65,80.40,25000,2013550,6,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00657K,國泰日經225+U,25.22,-0.2200,25.22,25.22,25.22,200,5044,2,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00660,元大歐洲50,45.62,0.0600,45.56,45.62,45.33,7000,318680,7,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00661,元大日經225,88.85,-0.5000,89.20,89.30,88.50,70000,6217800,53,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00662,富邦NASDAQ,120.40,1.3000,119.60,120.50,119.50,11528000,1385124300,1847,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00663L,國泰臺灣加權正2,105.10,3.1000,103.45,106.55,102.80,15275000,1604074250,3697,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00664R,國泰臺灣加權反1,1.66,-0.0300,1.68,1.68,1.65,35341000,58769110,964,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00665L,富邦恒生國企正2,7.72,0.3400,7.49,7.79,7.47,28932000,220347790,1925,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00666R,富邦恒生國企反1,10.09,-0.2700,10.25,10.25,10.03,83000,838070,22,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00668,國泰美國道瓊,60.60,0.3500,60.45,60.60,60.40,236000,14258850,21,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00668K,國泰美國道瓊+U,18.94,-0.0400,18.94,18.94,18.94,200,3788,2,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00669R,國泰美國道瓊反1,5.32,-0.0100,5.32,5.32,5.30,798000,4237630,66,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00670L,富邦NASDAQ正2,202.45,2.7500,201.45,203.15,200.50,678000,136829200,286,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00671R,富邦NASDAQ反1,2.46,-0.0100,2.46,2.47,2.45,4294000,10559880,206,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00673R,期元大S&P原油反1,15.88,0.1600,15.84,15.90,15.77,29290000,463647010,1673,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00674R,期元大S&P黃金反1,30.34,-0.2500,30.31,30.35,30.20,378000,11434300,97,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00675L,富邦臺灣加權正2,318.60,9.6000,313.55,322.95,311.30,2462000,782159950,915,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00676R,富邦臺灣加權反1,5.66,-0.0900,5.70,5.73,5.63,10194000,57859100,518,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00678,群益那斯達克生技,40.06,1.3600,39.21,40.14,39.21,741000,29614310,133,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00680L,元大美債20正2,7.20,-0.0200,7.20,7.21,7.18,11804000,84836350,397,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00681R,元大美債20反1,20.72,0.0600,20.72,20.72,20.72,2000,41440,1,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00682U,期元大美元指數,20.87,-0.0100,20.87,20.87,20.87,1000,20870,1,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00683L,期元大美元指正2,22.19,0.0500,22.15,22.23,22.15,61000,1354740,6,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00684R,期元大美元指反1,14.95,0.1900,14.95,14.95,14.95,332000,4963400,10,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00685L,群益臺灣加權正2,288.35,8.0000,284.15,292.25,281.90,5813000,1672774200,3197,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00686R,群益臺灣加權反1,1.01,-0.0200,1.01,1.03,1.00,12786000,12942680,234,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00688L,國泰20年美債正2,7.17,-0.0300,7.18,7.18,7.15,3127000,22376540,200,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00689R,國泰20年美債反1,21.62,0.0400,21.62,21.62,21.62,2000,43240,1,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00690,兆豐藍籌30,78.60,0.9000,77.80,79.40,77.65,494000,38770450,165,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00692,富邦公司治理,90.40,1.2000,89.65,91.35,89.65,1177000,106600650,288,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00693U,期街口S&P黃豆,20.95,-0.0900,21.08,21.08,20.95,415000,8703310,69,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00700,富邦恒生國企,15.49,0.4100,15.23,15.56,15.21,373000,5749350,112,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00701,國泰股利精選30,39.14,-0.0700,39.10,39.58,38.95,652000,25594290,155,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00702,國泰標普低波高息,24.85,0.3600,24.41,24.85,24.41,67000,1658950,21,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00703,台新MSCI中國,18.00,0.5100,18.51,18.51,17.93,49000,882750,12,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00706L,期元大S&P日圓正2,18.58,-0.0300,18.59,18.60,18.58,267000,4963010,90,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00707R,期元大S&P日圓反1,0.00,0.0000,0.00,0.00,0.00,0,0,0,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00708L,期元大S&P黃金正2,70.80,1.1500,71.30,71.65,70.70,4433000,315807750,1609,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00709,富邦歐洲,39.30,0.2000,39.14,39.44,39.14,102000,4007940,22,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00710B,復華彭博非投等債,18.90,0.0300,18.92,18.92,18.87,205000,3871720,24,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00711B,復華彭博新興債,16.27,0.0200,16.25,16.27,16.25,106000,1723520,5,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00712,復華富時不動產,8.77,0.1400,8.76,8.80,8.73,44274000,388377770,4296,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00713,元大台灣高息低波,60.00,0.3500,59.85,60.20,59.75,5092000,305667450,1794,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00714,群益道瓊美國地產,22.30,0.2000,22.18,22.35,22.18,19000,423520,13,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00715L,期街口布蘭特正2,33.37,-0.9000,33.67,33.73,33.28,8914000,298694540,2153,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00717,富邦美國特別股,14.77,-0.0100,14.78,14.78,14.73,55000,811060,23,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00728,第一金工業30,63.15,0.5000,63.15,64.25,63.00,146000,9250950,29,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00730,富邦臺灣優質高息,28.94,0.5900,28.35,29.50,28.35,202000,5847030,73,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00731,復華富時高息低波,88.25,-0.3000,89.00,89.65,88.25,701000,62227100,31,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00733,富邦臺灣中小,74.00,0.9500,73.30,74.70,72.80,739000,54415600,185,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00735,國泰臺韓科技,112.00,-1.5000,113.45,114.50,111.60,2703000,304976000,1456,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00736,國泰新興市場,30.95,0.1500,30.72,31.09,30.72,192000,5942480,17,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00737,國泰AI機器人,37.81,0.9000,36.92,37.90,36.92,152000,5737130,84,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00738U,期元大道瓊白銀,46.82,1.3000,46.97,47.57,46.80,5110000,240390120,1578,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00739,元大MSCI A股,29.25,-0.1500,29.20,29.34,29.09,193000,5641200,25,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00752,中信中國50,20.96,0.7000,20.42,21.04,20.42,2748000,57126590,566,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00753L,中信中國50正2,8.33,0.3700,8.07,8.38,8.07,20040000,165332930,2025,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00757,統一FANG+,125.30,2.9500,124.25,125.60,124.25,1687000,210987800,602,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00762,元大全球AI,115.75,-1.2500,116.50,116.50,115.15,457000,52811550,103,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00763U,期街口道瓊銅,32.94,0.8000,32.78,33.00,32.71,1139000,37405500,417,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00770,國泰北美科技,66.55,0.1500,68.05,68.05,66.30,206000,13705050,111,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00771,元大US高息特別股,15.70,-0.0100,15.71,15.71,15.70,9000,141350,5,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00775B,新光投等債15+,32.90,0.1400,32.90,32.90,32.90,160000,5264000,8,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00783,富邦中証500,30.65,-0.2200,31.00,31.24,30.56,672000,20734110,46,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00830,國泰費城半導體,94.60,-1.1000,93.80,94.60,93.45,11431000,1073203850,5475,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00850,元大臺灣ESG永續,89.25,1.2000,88.25,90.10,88.25,836000,74581400,317,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00851,台新全球AI,72.20,1.2000,71.00,72.35,71.00,4000,287850,4,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00852L,國泰美國道瓊正2,34.42,0.2200,34.29,34.44,34.29,45000,1547870,18,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00861,元大全球未來通訊,93.20,-1.3500,93.30,93.50,92.95,127000,11819500,44,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00865B,國泰US短期公債,48.48,0.0100,48.50,48.55,48.44,4152000,201354970,716,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00875,國泰網路資安,48.72,2.3200,48.80,48.81,48.67,246000,11995490,44,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00876,元大全球5G,99.75,-1.2500,100.50,100.70,99.25,182000,18207450,95,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00878,國泰永續高股息,32.90,0.1900,32.95,33.20,32.72,37372000,1232292880,9453,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00881,國泰台灣科技龍頭,53.00,0.3000,52.70,53.80,52.70,8272000,439720200,2170,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00882,中信中國高股息,14.81,0.1600,14.68,14.82,14.66,7809000,115154290,1424,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00885,富邦越南,18.98,0.1000,19.09,19.20,18.97,4521000,86330970,894,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00891,中信關鍵半導體,36.04,0.2300,35.85,36.43,35.65,17052000,614958460,3767,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00892,富邦台灣半導體,43.33,0.0700,43.23,44.10,42.95,1912000,83294240,396,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00893,國泰智能電動車,44.98,-0.2600,45.20,45.20,44.66,1259000,56489220,201,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00894,中信小資高價30,47.06,0.4600,46.90,47.68,46.56,3636000,171384430,697,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00895,富邦未來車,50.60,0.3000,50.30,50.70,50.25,941000,47558050,164,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00896,中信綠能及電動車,26.96,0.3500,26.62,27.18,26.62,4596000,124102040,833,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00897,富邦基因免疫生技,11.17,0.4600,11.08,11.21,11.08,3433000,38323840,410,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00898,國泰基因免疫革命,9.30,0.3400,9.16,9.34,9.16,2674000,24837220,478,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00899,FT潔淨能源,25.60,-0.3500,25.26,25.61,25.26,38000,968450,27,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00900,富邦特選高股息30,18.98,0.1100,19.00,19.21,18.88,6250000,119027210,990,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00901,永豐智能車供應鏈,45.85,0.6500,45.20,46.15,45.20,389000,17774520,45,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00902,中信電池及儲能,14.79,0.1700,14.65,14.87,14.52,1570000,22977240,239,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00903,富邦元宇宙,20.43,0.2100,20.36,20.45,20.36,24000,490540,12,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00904,新光臺灣半導體30,42.03,0.2300,41.80,42.55,41.57,1667000,70119070,350,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00905,FT臺灣Smart,27.40,0.3500,27.15,27.74,27.15,1821000,49968840,360,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00907,永豐優息存股,16.15,0.0200,16.22,16.34,16.14,1058000,17188500,189,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00908,富邦入息REITs+,15.20,0.1300,15.15,15.21,15.15,94000,1426290,37,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00909,國泰數位支付服務,49.11,1.5500,48.40,49.15,48.38,1520000,74278780,413,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00910,第一金太空衛星,59.25,1.9000,59.00,59.35,59.00,2377000,140699550,1256,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00911,兆豐洲際半導體,64.45,-1.2500,65.35,65.35,64.05,664000,42778000,220,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00912,中信臺灣智慧50,33.51,0.3300,33.35,33.90,33.35,1586000,53166770,237,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00913,兆豐台灣晶圓製造,52.30,0.3000,52.00,53.10,51.55,2278000,119311950,552,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00915,凱基優選高股息30,32.10,0.0900,32.06,32.48,31.85,3065000,98415460,459,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00916,國泰全球品牌50,25.02,0.4600,24.80,25.06,24.69,2103000,52591080,502,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00917,中信特選金融,22.15,-0.0500,22.19,22.19,22.10,451000,9984530,139,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00918,大華優利高填息30,31.43,0.2800,31.29,31.75,31.20,26444000,831631900,5326,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00919,群益台灣精選高息,29.46,-0.1000,29.74,29.97,29.37,101707000,3009878870,30739,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00920,富邦ESG綠色電力,25.49,-0.0900,25.49,25.51,25.33,500000,12739380,64,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00921,兆豐龍頭等權重,22.61,0.2100,22.41,22.70,22.41,210000,4745100,39,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00922,國泰台灣領袖50,40.00,0.4300,39.72,40.32,39.57,8357000,333813330,1907,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00923,群益台ESG低碳50,41.79,0.6100,41.35,42.15,41.32,3543000,147944990,655,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00924,復華S&P500成長,31.79,0.4000,31.42,31.85,31.42,2281000,72401370,737,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00926,凱基全球菁英55,24.35,0.3200,24.03,24.36,24.03,1384000,33637380,136,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00927,群益半導體收益,40.15,0.3400,39.87,40.69,39.63,17208000,691290510,3324,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00929,復華台灣科技優息,29.99,0.0300,29.96,30.34,29.68,33987000,1019790340,6179,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00930,永豐ESG低碳高息,24.55,0.0300,24.52,24.78,24.35,1413000,34671740,155,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00932,兆豐永續高息等權,17.27,0.1200,17.23,17.43,17.20,590000,10186130,66,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00934,中信成長高股息,27.78,0.3300,27.72,28.09,27.57,3519000,98099750,498,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00935,野村臺灣新科技50,58.95,0.1500,58.55,59.80,58.35,12173000,718401350,3479,TWSE_CSV,2026-06-29 14:01:02 +0800
1150629,2026-06-29,上市,00936,台新永續高息中小,20.81,0.0300,20.78,21.05,20.64,1374000,28620550,163,TWSE_CSV,2026-06-29 14:01:02 +0800
